text	label
ㄷ	0
정의구현 뵨사마 존경합니다	0
땅꼬마들	0
숙녀는 너무했네ㅜㅋㅋㅋ	0
역시 총이 강하군	0
사진은 명세빈옛날같당~~	0
예수는 지구최대의 사기꾼일수도 있음	0
애초에 실제 있는 총이 아니라 ...ㅋ	0
아 아나운서 표정보소. 이 승리 쓰뤡쉐키	0
노래만큼이나 멋져보여요 파이팅	0
전투사제임 ㅋㅋ	0
벌써주글주글한거같음	0
태업할때부터 알아봤다 ㅉㅉ	0
그래도 댓글쳐다볼 정신은 있나보네. ㅍㅎㅎ	0
얼마씩벌면 저런빌라 살수있는거야	0
님이 말씀하시는 목사아들은 '나꼼수의 돼지엄마 김용민PD' 잖아요	0
서폿 더블킬 ㅋㅋㅋ	0
물탄다 가즈아	0
키즈노트로 뭐했는지는	0
잼있는데 한글좀 내줘	0
길고양이나 길어야 5년이지	0
우리집냥이 ㅁㅌㅊ?	0
재앙이한건햇노	1
혜지픽 ㅇㅈ?	0
이런 씨발련이	1
이건 진짜 인정할수밖에 ㅋㅋㅋ	0
행복버튼 언제나오니	0
체력게이 ㄷㄷ	1
게이야전기차 배터리는 통으로 나오는게 아니라 셀방식으로 aa건전지 만한게 수천개가 깔리는거임	1
웅근이가 누군데	0
근데 그건 알아라 너학력인증 올리는 순간 너보다 더센놈들도 낄낄 거리며 대기하고 있다는 사실을 ㅎ	0
상줘야지. 나라는	0
재밌겠다 기대된다^^	0
존윅 ㅋㅋ	0
ㅍㅌㅊ의 기준이?평균급으로는 솔직히 조올라게 노력하고 거기다 운좋아야될건데 한두번 하급여자만나는거면 몰라도폭격?이병헌탑주진모장동건도 노력하고, 누구(일반인)는 10억을 바쳐도(별풍선) 까이는게 한국 남녀관계인디	1
이것만 가지고는 쓸 곳이 거의 없지 삼각함수를 공부하기 위한 선행조건이라고 생각하면 편함	0
근데 아침엔 일부러 눈박스로 메꾸더니 다시 들어내는건거	0
아저씨..세월이야속하구나	0
와 아기 너무 이쁨요 ~	0
결혼생활에 환상가지는 애들 이해가 안감 좋은 점만보는것 같은데 요즘 사람들이 얼마나 개인주의적긴데 요즘은 가족도 옛날의 그런 이미지가 아님 정서가 완전 달라서	0
안전한 음원 ㅋㅋ	0
레오나 더블킬ㅋㅋㅋ	0
그쯤 되면 중이 절을 떠나면 되는데	0
창의력 인정	0
ㅋㅋㅋㅋ 부끄럽네 씹쌍규 저희 지역굽니다 아주 개새끼죠 ㅋㅋㅋㅋ	1
화곡동은 뭐냐	0
리콜대비나해라	0
지금 상황좋은데 이새기 뇌사와서 망칠것 같다 ㅋㅋ ㄱㅊ	1
재미도없고 에휴	1
그냥 병신 프로그램	1
이승기빨로 3개월정도는 버틸듯..	0
거기서는 남자들이 디엠보내고 따먹음 ㅇㅇ 너 얼굴이 1차적 공략법이지 다른 방도는 없음 걸레들이 외모 더 따짐	1
그챔프 왔다	0
ㅋㅋ 여자비율 82%	0
그래서 나도 한번 시켜 먹어봤는데,	0
다 봤다 수고	0
개커여워 형...	0
정의는 이기지요 힘을내요 바베크	0
12월에 생산된 전시차량입니다	0
흑수저로 태어 나면 부모는 자식에게 아무런것도 바라면 안되는게 맞음존나 못살게 태어나서 너는 성공해야 된다라는 말을 하는 부모 있으면그냥 호적파서 나와라니 인생은 가족에게 평생 호구가 될것임	1
그 캐릭이 뭔지 알아야 대입이 되지	0
그러면 진짜 울어	0
락스타 원툴 ㅋㅋㅋㅋ	0
애니도 다 현실 반영이었던거네 ㅋㅋ	0
지자체 사람들은 그 동네 살겠지만, 그래도 그 사람들 그 지역에서 중심이 되는 시 단위에서 산다 거기서 살면서 자기 근무지로 출퇴근하는거지	0
길냥이가 살아봤자 얼마나살겠노ㅠ 잘해주진 못해도 괴롭히진말자 게이들아 ㅠ	1
yg는 하루빨리 망해야 한다	0
저번에 키스방 갔는데 얼굴은 ㅍㅅㅌㅊ 어린여자고딱 저거랑 비슷한 몸매에 피부 ㅆㅅㅌㅊ 나왔는데진짜 한시간이 황홀하더라	1
오만석 안나오길 짜증나네	0
에고 세상이 어찌되려구 ㅠㅠ	0
빨뚜사와라	0
다미효과 다미보려고 봅니다	0
이건 문재인이 잘했네	0
느그 할배 그러나보다 ㅋㅋ	1
제시 순한 버전처럼 생김	0
그럼 비싸게줘야지 똑같이주냐?	0
감싸고 지랄이네	1
그만하자 미투 사람여럿 죽이고 가정파탄시키고	0
운장님 도선생님 벗기기 못봄? 일반인이랑 프로는 넘사임 스타는	0
저런 영업맨들은 환상으로 치장하는거지	0
대박감동... ㅠㅠ	0
지가 못하는걸 조작탓하네 ㅋㅋㅋㅋ	1
이미 눈빛이 만취했네	0
지성은 진지한 연기가 간지폭풍임	0
아마 엘리사는 아니셨을 듯	0
지금 만찬할때냐?	0
둘다듣보잡 포티 인물이없네	1
